gene,log2FC,pvalue,padj,-log10_padj,Significance
ZNF800,0.09813481057180343,0.3181424456581383,0.5399124133406175,0.26767668737714084,Not Significant
KIF18A,0.079235855692897,0.31824735365789353,0.5400267169012514,0.2675847536663595,Not Significant
TMEM132A,-0.10578899105617386,0.3182570039640067,0.5400267169012514,0.2675847536663595,Not Significant
RP11-37C7.3,-0.20002271128529694,0.3183916597122275,0.540175083361691,0.2674654523738455,Not Significant
ZNF622,0.05570384885941321,0.31837552098814836,0.540175083361691,0.2674654523738455,Not Significant
FLJ30064,-0.15099336750075235,0.31845267299430013,0.5402159401461429,0.26743260523672907,Not Significant
SPARCL1,-0.12183730278363684,0.3184629633169221,0.5402159401461429,0.26743260523672907,Not Significant
DNAJC11,0.07530499447291912,0.3185481397650876,0.5403060314977862,0.2673601843549639,Not Significant
NLRP14,0.1905351220982828,0.3185633026619378,0.5403060314977862,0.2673601843549639,Not Significant
RP11-803D5.4,-0.24339161893276906,0.31859273316345305,0.5403126178776955,0.2673548902978014,Not Significant
SCAMP1,0.056093859913578334,0.3186380311636252,0.5403126178776955,0.2673548902978014,Not Significant
SWT1,0.07785137172143641,0.3186246638643144,0.5403126178776955,0.2673548902978014,Not Significant
LINC01315,-0.15354195558235187,0.31875959626451367,0.5404786988685396,0.2672214176147352,Not Significant
SLC35F5,-0.11281794124543425,0.3188647816167049,0.5405769267479408,0.26714249507809695,Not Significant
THOC6,0.15126831474223826,0.3188462596492997,0.5405769267479408,0.26714249507809695,Not Significant
SYT14,-0.27834187518842224,0.3189904708530222,0.540749942440331,0.2670035181169762,Not Significant
AC083949.1,0.1463060998894601,0.3190182461294433,0.54075696187892,0.2669978806061418,Not Significant
NFE2L3,0.10406260677319068,0.3190480368374526,0.5407673963138687,0.2669895005498152,Not Significant
TUBB7P,0.1900851170736618,0.31917529969448183,0.5409430264451662,0.2668484735319666,Not Significant
FGF10,0.2085945131142607,0.3192246499371037,0.540986592886522,0.2668134977539694,Not Significant
CD38,0.1462144508089666,0.31930752176970456,0.5410468857358246,0.2667650984164354,Not Significant
TFF1,-0.2446360164807545,0.3192958253677922,0.5410468857358246,0.2667650984164354,Not Significant
RP11-669M16.1,0.22034961310421136,0.3193418272401877,0.541064944257664,0.2667506032114676,Not Significant
TESPA1,0.1103004220681358,0.3194831390954388,0.5412642889673188,0.2665906254418186,Not Significant
LOC101929842,0.20805486885740238,0.3195668454260113,0.5413438977633027,0.26652675439171414,Not Significant
RARS2,-0.08239256356144965,0.31957744873640426,0.5413438977633027,0.26652675439171414,Not Significant
CDADC1,-0.06550517535925904,0.31968676784859523,0.5414889878868714,0.2664103710766954,Not Significant
LINC00308,-0.16248311727464473,0.31975640171794795,0.5415668422019875,0.26634793348379177,Not Significant
UBE4A,-0.0520670284393501,0.31979702223776946,0.541595549133987,0.2663249133673948,Not Significant
MCF2L-AS1,-0.25788805145211435,0.3199107613559633,0.5417480734086626,0.26620262446495013,Not Significant
OPCML,-0.16846929956788168,0.3200050400055411,0.5418275227800473,0.2661389382325059,Not Significant
SEMA3E,-0.2663363481057171,0.3199903596064537,0.5418275227800473,0.2661389382325059,Not Significant
SLC17A5,-0.08180896392322178,0.32014513359932495,0.5420246157135233,0.2659809897977808,Not Significant
IL2RG,-0.13389146819414863,0.3202907440545923,0.5422310191616034,0.2658156415593275,Not Significant
VN1R10P,-0.2357137976082796,0.3203269786473383,0.5422522396752811,0.26579864553487176,Not Significant
CYP2E1,-0.13573322614142513,0.3204181659447542,0.5423263527752609,0.26573929177179345,Not Significant
RP11-111K18.2,-0.20600753693096058,0.32040990335091246,0.5423263527752609,0.26573929177179345,Not Significant
LINC00486,-0.13670502127089318,0.3204698224953812,0.5423335457614143,0.2657335316728,Not Significant
MAGEA12,0.29325565269822207,0.3204470810456723,0.5423335457614143,0.2657335316728,Not Significant
CLCNKB,-0.10428553244229971,0.32060378655751676,0.5425201269459347,0.26558414529618224,Not Significant
ASCL5,0.18199608079590057,0.32086877724637847,0.5426192812418804,0.26550477823351515,Not Significant
ATP8A2,-0.15807252202458574,0.3208433284201209,0.5426192812418804,0.26550477823351515,Not Significant
DHRS7,0.09731487622684688,0.32070144196660494,0.5426192812418804,0.26550477823351515,Not Significant
FAM3B,-0.2553183599638212,0.32082341558271726,0.5426192812418804,0.26550477823351515,Not Significant
LGALS8,-0.08358667470605743,0.3208520367719826,0.5426192812418804,0.26550477823351515,Not Significant
LOC100289090,-0.13510335644658686,0.32087582496515044,0.5426192812418804,0.26550477823351515,Not Significant
SPRED3,-0.13423826751080128,0.3207641417319978,0.5426192812418804,0.26550477823351515,Not Significant
SUMO1,0.07006468361638948,0.3208274982079101,0.5426192812418804,0.26550477823351515,Not Significant
SYT2,-0.17815083911164584,0.32077456301536517,0.5426192812418804,0.26550477823351515,Not Significant
MARS,-0.08959876729306691,0.32090844431336146,0.5426343364045311,0.26549272874764857,Not Significant
SNRPD3,0.062427293739325235,0.32093932231087297,0.5426464450541512,0.26548303776296817,Not Significant
C8B,-0.19818349914581307,0.32096569560466603,0.542650935892615,0.26547944363955417,Not Significant
